DATE,MONTH,DAY,YEAR,STATE,CASES,DEATHS
2021-01-01,1,1,2021,Alabama,365747,4872
2021-01-01,1,1,2021,Alaska,46740,198
2021-01-01,1,1,2021,Arizona,530267,9015
2021-01-01,1,1,2021,Arkansas,229442,3711
2021-01-01,1,1,2021,California,2345811,26236
2021-01-01,1,1,2021,Colorado,338357,4936
2021-01-01,1,1,2021,Connecticut,185708,5995
2021-01-01,1,1,2021,Delaware,58064,930
2021-01-01,1,1,2021,District of Columbia,29252,788
2021-01-01,1,1,2021,Florida,1323307,21672
2021-01-01,1,1,2021,Georgia,654950,10610
2021-01-01,1,1,2021,Guam,8295,123
2021-01-01,1,1,2021,Hawaii,21736,287
2021-01-01,1,1,2021,Idaho,141388,1438
2021-01-01,1,1,2021,Illinois,966287,17979
2021-01-01,1,1,2021,Indiana,520750,8371
2021-01-01,1,1,2021,Iowa,282980,3898
2021-01-01,1,1,2021,Kansas,230352,2879
2021-01-01,1,1,2021,Kentucky,269470,2956
2021-01-01,1,1,2021,Louisiana,315275,7488
2021-01-01,1,1,2021,Maine,24201,347
2021-01-01,1,1,2021,Maryland,280387,5942
2021-01-01,1,1,2021,Massachusetts,375178,12423
2021-01-01,1,1,2021,Michigan,526845,13011
2021-01-01,1,1,2021,Minnesota,415361,5382
2021-01-01,1,1,2021,Mississippi,218386,4816
2021-01-01,1,1,2021,Missouri,421217,5906
2021-01-01,1,1,2021,Montana,81701,962
2021-01-01,1,1,2021,Nebraska,168567,1707
2021-01-01,1,1,2021,Nevada,227046,3146
2021-01-01,1,1,2021,New Hampshire,44028,759
2021-01-01,1,1,2021,New Jersey,484882,19160
2021-01-01,1,1,2021,New Mexico,144142,2504
2021-01-01,1,1,2021,New York,996073,37733
2021-01-01,1,1,2021,North Carolina,543976,6819
2021-01-01,1,1,2021,North Dakota,92777,1316
2021-01-01,1,1,2021,Northern Mariana Islands,122,2
2021-01-01,1,1,2021,Ohio,700380,8962
2021-01-01,1,1,2021,Oklahoma,290936,2489
2021-01-01,1,1,2021,Oregon,115377,1501
2021-01-01,1,1,2021,Pennsylvania,652952,16247
2021-01-01,1,1,2021,Puerto Rico,110669,1521
2021-01-01,1,1,2021,Rhode Island,87949,1777
2021-01-01,1,1,2021,South Carolina,307507,5296
2021-01-01,1,1,2021,South Dakota,99164,1488
2021-01-01,1,1,2021,Tennessee,572579,6846
2021-01-01,1,1,2021,Texas,1778306,28434
2021-01-01,1,1,2021,Utah,276612,1273
2021-01-01,1,1,2021,Vermont,7412,136
2021-01-01,1,1,2021,Virgin Islands,2036,23
2021-01-01,1,1,2021,Virginia,354766,5081
2021-01-01,1,1,2021,Washington,251585,3523
2021-01-01,1,1,2021,West Virginia,87820,1361
2021-01-01,1,1,2021,Wisconsin,522523,5257
2021-01-01,1,1,2021,Wyoming,44409,438
2021-01-02,1,2,2021,Alabama,369458,4872
2021-01-02,1,2,2021,Alaska,47549,207
2021-01-02,1,2,2021,Arizona,539162,9061
2021-01-02,1,2,2021,Arkansas,231442,3729
2021-01-02,1,2,2021,California,2398005,26542
2021-01-02,1,2,2021,Colorado,340454,4976
2021-01-02,1,2,2021,Connecticut,190120,6099
2021-01-02,1,2,2021,Delaware,58873,930
2021-01-02,1,2,2021,District of Columbia,29509,792
2021-01-02,1,2,2021,Florida,1354825,21889
2021-01-02,1,2,2021,Georgia,662077,10612
2021-01-02,1,2,2021,Guam,8295,124
2021-01-02,1,2,2021,Hawaii,21895,287
2021-01-02,1,2,2021,Idaho,142290,1451
2021-01-02,1,2,2021,Illinois,977677,18217
2021-01-02,1,2,2021,Indiana,526065,8410
2021-01-02,1,2,2021,Iowa,283895,3946
2021-01-02,1,2,2021,Kansas,230352,2879
2021-01-02,1,2,2021,Kentucky,275803,2999
2021-01-02,1,2,2021,Louisiana,315275,7488
2021-01-02,1,2,2021,Maine,25245,358
2021-01-02,1,2,2021,Maryland,283339,5967
2021-01-02,1,2,2021,Massachusetts,384181,12502
2021-01-02,1,2,2021,Michigan,535355,13296
2021-01-02,1,2,2021,Minnesota,417891,5436
2021-01-02,1,2,2021,Mississippi,220277,4840
2021-01-02,1,2,2021,Missouri,423894,5910
2021-01-02,1,2,2021,Montana,81991,971
2021-01-02,1,2,2021,Nebraska,169330,1708
2021-01-02,1,2,2021,Nevada,229601,3158
2021-01-02,1,2,2021,New Hampshire,45184,769
2021-01-02,1,2,2021,New Jersey,490393,19187
2021-01-02,1,2,2021,New Mexico,145379,2536
2021-01-02,1,2,2021,New York,1011922,37854
2021-01-02,1,2,2021,North Carolina,559942,6933
2021-01-02,1,2,2021,North Dakota,92898,1317
2021-01-02,1,2,2021,Northern Mariana Islands,122,2
2021-01-02,1,2,2021,Ohio,714673,9017
2021-01-02,1,2,2021,Oklahoma,296055,2527
2021-01-02,1,2,2021,Oregon,116348,1503
2021-01-02,1,2,2021,Pennsylvania,661731,16270
2021-01-02,1,2,2021,Puerto Rico,111547,1526
2021-01-02,1,2,2021,Rhode Island,87949,1777
2021-01-02,1,2,2021,South Carolina,312718,5385
2021-01-02,1,2,2021,South Dakota,99829,1501
2021-01-02,1,2,2021,Tennessee,589406,6908
2021-01-02,1,2,2021,Texas,1792363,28508
2021-01-02,1,2,2021,Utah,281747,1294
2021-01-02,1,2,2021,Vermont,7689,139
2021-01-02,1,2,2021,Virgin Islands,2042,23
2021-01-02,1,2,2021,Virginia,358755,5117
2021-01-02,1,2,2021,Washington,253290,3524
2021-01-02,1,2,2021,West Virginia,89327,1373
2021-01-02,1,2,2021,Wisconsin,523652,5259
2021-01-02,1,2,2021,Wyoming,44573,438
2021-01-03,1,3,2021,Alabama,371934,4873
2021-01-03,1,3,2021,Alaska,47846,207
2021-01-03,1,3,2021,Arizona,556384,9061
2021-01-03,1,3,2021,Arkansas,233475,3749
2021-01-03,1,3,2021,California,2433916,26635
2021-01-03,1,3,2021,Colorado,342494,4997
2021-01-03,1,3,2021,Connecticut,190120,6099
2021-01-03,1,3,2021,Delaware,59484,930
2021-01-03,1,3,2021,District of Columbia,29764,794
2021-01-03,1,3,2021,Florida,1365428,21986
2021-01-03,1,3,2021,Georgia,667705,10616
2021-01-03,1,3,2021,Guam,8296,124
2021-01-03,1,3,2021,Hawaii,22017,287
2021-01-03,1,3,2021,Idaho,142568,1451
2021-01-03,1,3,2021,Illinois,982105,18322
2021-01-03,1,3,2021,Indiana,529054,8475
2021-01-03,1,3,2021,Iowa,284715,3946
2021-01-03,1,3,2021,Kansas,230352,2879
2021-01-03,1,3,2021,Kentucky,278478,3013
2021-01-03,1,3,2021,Louisiana,321058,7537
2021-01-03,1,3,2021,Maine,25592,359
2021-01-03,1,3,2021,Maryland,285487,5994
2021-01-03,1,3,2021,Massachusetts,387662,12610
2021-01-03,1,3,2021,Michigan,535582,13296
2021-01-03,1,3,2021,Minnesota,420603,5489
2021-01-03,1,3,2021,Mississippi,222061,4871
2021-01-03,1,3,2021,Missouri,426489,5928
2021-01-03,1,3,2021,Montana,82381,972
2021-01-03,1,3,2021,Nebraska,170037,1708
2021-01-03,1,3,2021,Nevada,231869,3195
2021-01-03,1,3,2021,New Hampshire,46450,780
2021-01-03,1,3,2021,New Jersey,494063,19208
2021-01-03,1,3,2021,New Mexico,146394,2553
2021-01-03,1,3,2021,New York,1024154,38001
2021-01-03,1,3,2021,North Carolina,565260,6963
2021-01-03,1,3,2021,North Dakota,93048,1317
2021-01-03,1,3,2021,Northern Mariana Islands,122,2
2021-01-03,1,3,2021,Ohio,721481,9076
2021-01-03,1,3,2021,Oklahoma,304072,2547
2021-01-03,1,3,2021,Oregon,117745,1510
2021-01-03,1,3,2021,Pennsylvania,666207,16324
2021-01-03,1,3,2021,Puerto Rico,111784,1545
2021-01-03,1,3,2021,Rhode Island,87949,1777
2021-01-03,1,3,2021,South Carolina,321669,5469
2021-01-03,1,3,2021,South Dakota,100532,1513
2021-01-03,1,3,2021,Tennessee,593363,6962
2021-01-03,1,3,2021,Texas,1808382,28554
2021-01-03,1,3,2021,Utah,283473,1301
2021-01-03,1,3,2021,Vermont,7793,140
2021-01-03,1,3,2021,Virgin Islands,2042,23
2021-01-03,1,3,2021,Virginia,363765,5124
2021-01-03,1,3,2021,Washington,258557,3524
2021-01-03,1,3,2021,West Virginia,91058,1376
2021-01-03,1,3,2021,Wisconsin,526245,5264
2021-01-03,1,3,2021,Wyoming,44875,438
2021-01-04,1,4,2021,Alabama,374095,4878
2021-01-04,1,4,2021,Alaska,48110,209
2021-01-04,1,4,2021,Arizona,561542,9064
2021-01-04,1,4,2021,Arkansas,234781,3800
2021-01-04,1,4,2021,California,2474639,26995
2021-01-04,1,4,2021,Colorado,345239,5011
2021-01-04,1,4,2021,Connecticut,194636,6168
2021-01-04,1,4,2021,Delaware,60333,937
2021-01-04,1,4,2021,District of Columbia,29904,797
2021-01-04,1,4,2021,Florida,1376684,22089
2021-01-04,1,4,2021,Georgia,672849,10623
2021-01-04,1,4,2021,Guam,8313,124
2021-01-04,1,4,2021,Hawaii,22092,287
2021-01-04,1,4,2021,Idaho,143833,1462
2021-01-04,1,4,2021,Illinois,987459,18414
2021-01-04,1,4,2021,Indiana,532671,8514
2021-01-04,1,4,2021,Iowa,286356,3992
2021-01-04,1,4,2021,Kansas,234390,2897
2021-01-04,1,4,2021,Kentucky,282097,3067
2021-01-04,1,4,2021,Louisiana,322181,7585
2021-01-04,1,4,2021,Maine,25968,360
2021-01-04,1,4,2021,Maryland,287970,6027
2021-01-04,1,4,2021,Massachusetts,392582,12669
2021-01-04,1,4,2021,Michigan,541158,13381
2021-01-04,1,4,2021,Minnesota,423747,5502
2021-01-04,1,4,2021,Mississippi,223677,4884
2021-01-04,1,4,2021,Missouri,429745,5941
2021-01-04,1,4,2021,Montana,82753,975
2021-01-04,1,4,2021,Nebraska,170778,1727
2021-01-04,1,4,2021,Nevada,233324,3209
2021-01-04,1,4,2021,New Hampshire,47328,781
2021-01-04,1,4,2021,New Jersey,545155,19244
2021-01-04,1,4,2021,New Mexico,147315,2576
2021-01-04,1,4,2021,New York,1035396,38167
2021-01-04,1,4,2021,North Carolina,572018,7000
2021-01-04,1,4,2021,North Dakota,93247,1319
2021-01-04,1,4,2021,Northern Mariana Islands,122,2
2021-01-04,1,4,2021,Ohio,727423,9143
2021-01-04,1,4,2021,Oklahoma,306771,2552
2021-01-04,1,4,2021,Oregon,118473,1517
2021-01-04,1,4,2021,Pennsylvania,670769,16394
2021-01-04,1,4,2021,Puerto Rico,112420,1555
2021-01-04,1,4,2021,Rhode Island,92708,1855
2021-01-04,1,4,2021,South Carolina,325472,5484
2021-01-04,1,4,2021,South Dakota,100643,1513
2021-01-04,1,4,2021,Tennessee,597201,7101
2021-01-04,1,4,2021,Texas,1831486,28681
2021-01-04,1,4,2021,Utah,285633,1307
2021-01-04,1,4,2021,Vermont,7873,144
2021-01-04,1,4,2021,Virgin Islands,2042,23
2021-01-04,1,4,2021,Virginia,367536,5132
2021-01-04,1,4,2021,Washington,261328,3558
2021-01-04,1,4,2021,West Virginia,91886,1396
2021-01-04,1,4,2021,Wisconsin,527871,5273
2021-01-04,1,4,2021,Wyoming,45247,438
2021-01-05,1,5,2021,Alabama,379593,4886
2021-01-05,1,5,2021,Alaska,48302,209
2021-01-05,1,5,2021,Arizona,571676,9354
2021-01-05,1,5,2021,Arkansas,238888,3836
2021-01-05,1,5,2021,California,2511923,27486
2021-01-05,1,5,2021,Colorado,348483,5058
2021-01-05,1,5,2021,Connecticut,196968,6192
2021-01-05,1,5,2021,Delaware,61100,947
2021-01-05,1,5,2021,District of Columbia,30166,801
2021-01-05,1,5,2021,Florida,1392115,22187
2021-01-05,1,5,2021,Georgia,682749,10725
2021-01-05,1,5,2021,Guam,8326,124
2021-01-05,1,5,2021,Hawaii,22199,287
2021-01-05,1,5,2021,Idaho,145134,1474
2021-01-05,1,5,2021,Illinois,994511,18569
2021-01-05,1,5,2021,Indiana,536084,8663
2021-01-05,1,5,2021,Iowa,288298,3999
2021-01-05,1,5,2021,Kansas,234700,2897
2021-01-05,1,5,2021,Kentucky,284545,3093
2021-01-05,1,5,2021,Louisiana,326648,7635
2021-01-05,1,5,2021,Maine,26565,369
2021-01-05,1,5,2021,Maryland,289927,6082
2021-01-05,1,5,2021,Massachusetts,397202,12734
2021-01-05,1,5,2021,Michigan,544276,13598
2021-01-05,1,5,2021,Minnesota,425320,5520
2021-01-05,1,5,2021,Mississippi,225444,4975
2021-01-05,1,5,2021,Missouri,432830,6123
2021-01-05,1,5,2021,Montana,83529,1006
2021-01-05,1,5,2021,Nebraska,172067,1747
2021-01-05,1,5,2021,Nevada,235710,3246
2021-01-05,1,5,2021,New Hampshire,47992,792
2021-01-05,1,5,2021,New Jersey,551419,19382
2021-01-05,1,5,2021,New Mexico,148499,2596
2021-01-05,1,5,2021,New York,1048538,38315
2021-01-05,1,5,2021,North Carolina,578309,7080
2021-01-05,1,5,2021,North Dakota,93501,1336
2021-01-05,1,5,2021,Northern Mariana Islands,122,2
2021-01-05,1,5,2021,Ohio,735003,9247
2021-01-05,1,5,2021,Oklahoma,308268,2571
2021-01-05,1,5,2021,Oregon,119508,1550
2021-01-05,1,5,2021,Pennsylvania,679760,16583
2021-01-05,1,5,2021,Puerto Rico,112934,1562
2021-01-05,1,5,2021,Rhode Island,93852,1870
2021-01-05,1,5,2021,South Carolina,328073,5498
2021-01-05,1,5,2021,South Dakota,101076,1513
2021-01-05,1,5,2021,Tennessee,602397,7200
2021-01-05,1,5,2021,Texas,1862478,28949
2021-01-05,1,5,2021,Utah,288951,1314
2021-01-05,1,5,2021,Vermont,8038,149
2021-01-05,1,5,2021,Virgin Islands,2042,23
2021-01-05,1,5,2021,Virginia,371913,5191
2021-01-05,1,5,2021,Washington,263713,3611
2021-01-05,1,5,2021,West Virginia,93162,1442
2021-01-05,1,5,2021,Wisconsin,531890,5370
2021-01-05,1,5,2021,Wyoming,45569,464
2021-01-06,1,6,2021,Alabama,384184,4994
2021-01-06,1,6,2021,Alaska,48636,211
2021-01-06,1,6,2021,Arizona,578623,9467
2021-01-06,1,6,2021,Arkansas,242593,3901
2021-01-06,1,6,2021,California,2548830,28040
2021-01-06,1,6,2021,Colorado,350560,5080
2021-01-06,1,6,2021,Connecticut,199454,6230
2021-01-06,1,6,2021,Delaware,61729,947
2021-01-06,1,6,2021,District of Columbia,30482,806
2021-01-06,1,6,2021,Florida,1409898,22316
2021-01-06,1,6,2021,Georgia,690137,10814
2021-01-06,1,6,2021,Guam,8347,124
2021-01-06,1,6,2021,Hawaii,22325,297
2021-01-06,1,6,2021,Idaho,146322,1495
2021-01-06,1,6,2021,Illinois,1001955,18738
2021-01-06,1,6,2021,Indiana,542235,8743
2021-01-06,1,6,2021,Iowa,290776,4060
2021-01-06,1,6,2021,Kansas,239988,3027
2021-01-06,1,6,2021,Kentucky,289992,3135
2021-01-06,1,6,2021,Louisiana,333524,7681
2021-01-06,1,6,2021,Maine,27090,372
2021-01-06,1,6,2021,Maryland,293079,6132
2021-01-06,1,6,2021,Massachusetts,404053,12836
2021-01-06,1,6,2021,Michigan,548875,13657
2021-01-06,1,6,2021,Minnesota,427655,5596
2021-01-06,1,6,2021,Mississippi,228235,5013
2021-01-06,1,6,2021,Missouri,435687,6167
2021-01-06,1,6,2021,Montana,84155,1015
2021-01-06,1,6,2021,Nebraska,173625,1756
2021-01-06,1,6,2021,Nevada,237775,3301
2021-01-06,1,6,2021,New Hampshire,48838,816
2021-01-06,1,6,2021,New Jersey,557271,19523
2021-01-06,1,6,2021,New Mexico,149984,2643
2021-01-06,1,6,2021,New York,1064554,38486
2021-01-06,1,6,2021,North Carolina,584694,7149
2021-01-06,1,6,2021,North Dakota,93839,1341
2021-01-06,1,6,2021,Northern Mariana Islands,124,2
2021-01-06,1,6,2021,Ohio,742817,9368
2021-01-06,1,6,2021,Oklahoma,311573,2633
2021-01-06,1,6,2021,Oregon,120243,1571
2021-01-06,1,6,2021,Pennsylvania,689162,16960
2021-01-06,1,6,2021,Puerto Rico,113227,1570
2021-01-06,1,6,2021,Rhode Island,95463,1890
2021-01-06,1,6,2021,South Carolina,333235,5582
2021-01-06,1,6,2021,South Dakota,101684,1519
2021-01-06,1,6,2021,Tennessee,610347,7312
2021-01-06,1,6,2021,Texas,1887800,29278
2021-01-06,1,6,2021,Utah,292720,1333
2021-01-06,1,6,2021,Vermont,8158,152
2021-01-06,1,6,2021,Virgin Islands,2042,23
2021-01-06,1,6,2021,Virginia,377300,5226
2021-01-06,1,6,2021,Washington,265790,3681
2021-01-06,1,6,2021,West Virginia,94678,1481
2021-01-06,1,6,2021,Wisconsin,535999,5442
2021-01-06,1,6,2021,Wyoming,45890,464
2021-01-07,1,7,2021,Alabama,389230,5080
2021-01-07,1,7,2021,Alaska,48961,214
2021-01-07,1,7,2021,Arizona,588383,9764
2021-01-07,1,7,2021,Arkansas,245916,3926
2021-01-07,1,7,2021,California,2589250,28554
2021-01-07,1,7,2021,Colorado,354998,5164
2021-01-07,1,7,2021,Connecticut,202758,6287
2021-01-07,1,7,2021,Delaware,62949,949
2021-01-07,1,7,2021,District of Columbia,30750,808
2021-01-07,1,7,2021,Florida,1429714,22480
2021-01-07,1,7,2021,Georgia,699806,10878
2021-01-07,1,7,2021,Guam,8355,124
2021-01-07,1,7,2021,Hawaii,22611,297
2021-01-07,1,7,2021,Idaho,147500,1519
2021-01-07,1,7,2021,Illinois,1010808,18944
2021-01-07,1,7,2021,Indiana,549514,8823
2021-01-07,1,7,2021,Iowa,293189,4065
2021-01-07,1,7,2021,Kansas,240540,3027
2021-01-07,1,7,2021,Kentucky,294951,3161
2021-01-07,1,7,2021,Louisiana,338054,7728
2021-01-07,1,7,2021,Maine,27625,385
2021-01-07,1,7,2021,Maryland,296049,6173
2021-01-07,1,7,2021,Massachusetts,411601,12909
2021-01-07,1,7,2021,Michigan,553222,13863
2021-01-07,1,7,2021,Minnesota,429638,5640
2021-01-07,1,7,2021,Mississippi,231490,5061
2021-01-07,1,7,2021,Missouri,440563,6238
2021-01-07,1,7,2021,Montana,84848,1039
2021-01-07,1,7,2021,Nebraska,174590,1881
